id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,director,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JH1S9WN4YGKYBJ747WBHCAJ6,01JH1RNKCC69MGANW7P8YZKMM5,2025-01-08T01:43:42.500989884Z,"[{""text"":""detective full body like a right arrow"",""sender"":{""id"":""01JH1RYS7YE3EGV2KWJZVF22GA"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-08T01:56:40.394169255Z,01JH1RYS7YE3EGV2KWJZVF22GA,TRUE,2025-01-08T01:56:46.5698485Z,TRUE,2025-01-08T01:56:46.564645804Z,01JH1RNKD1F4YDF1363KM31BGV,2025-01-08T01:43:42.500989884Z,39,2025-01-08T01:43:42.500989884Z,65,2025-01-08T01:43:42.500989884Z,2,2025-01-08T01:43:42.500989884Z,4,2025-01-08T01:43:42.500989884Z,/tangrams/302_112.png,2025-01-08T01:56:46.5698485Z,2,2025-01-08T01:43:43.068133275Z,TRUE,2025-01-08T01:56:27.72596518Z,"[""/tangrams/302_112.png"",""/tangrams/40_234.png"",""/tangrams/42_449.png"",""/tangrams/39_452.png""]",2025-01-08T01:43:42.500989884Z,/tangrams/302_112.png,2025-01-08T01:43:42.500989884Z,8,2025-01-08T01:43:42.500989884Z,39,2025-01-08T01:43:42.500989884Z
01JH1TYFNNFHKC474AMYQJ1MFC,01JH1RNKCC69MGANW7P8YZKMM5,2025-01-08T02:12:25.909491149Z,"[{""text"":""arms wide with ears"",""sender"":{""id"":""01JH1TR8ECRZPYVP7GM68GA1TB"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-08T02:25:07.562298987Z,01JH1TR8ECRZPYVP7GM68GA1TB,TRUE,2025-01-08T02:25:13.979164385Z,TRUE,2025-01-08T02:25:13.972193834Z,01JH1RNKD1F4YDF136339GBTVG,2025-01-08T02:12:25.909491149Z,24,2025-01-08T02:12:25.909491149Z,65,2025-01-08T02:12:25.909491149Z,1,2025-01-08T02:12:25.909491149Z,4,2025-01-08T02:12:25.909491149Z,/tangrams/193_92.png,2025-01-08T02:25:13.979164385Z,2,2025-01-08T02:12:26.305728139Z,TRUE,2025-01-08T02:24:57.474642424Z,"[""/tangrams/193_322.png"",""/tangrams/193_92.png"",""/tangrams/199_322.png"",""/tangrams/199_92.png""]",2025-01-08T02:12:25.909491149Z,/tangrams/193_92.png,2025-01-08T02:12:25.909491149Z,9,2025-01-08T02:12:25.909491149Z,24,2025-01-08T02:12:25.909491149Z
01JH1WNB2B2BVXA19JFWCVNZCK,01JH1RZ3FXNX28XM2FHQ5ANPD8,2025-01-08T02:42:23.436018626Z,"[{""text"":""cross at the end"",""sender"":{""id"":""01JH1W9R4RQVGYZCTNV1WEHEVB"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-08T03:08:36.628566138Z,01JH1W9R4RQVGYZCTNV1WEHEVB,TRUE,2025-01-08T03:08:46.028471067Z,TRUE,2025-01-08T03:08:46.017808859Z,01JH1RZ3GH74K3GNA5D14P077Q,2025-01-08T02:42:23.436018626Z,55,2025-01-08T02:42:23.436018626Z,65,2025-01-08T02:42:23.436018626Z,3,2025-01-08T02:42:23.436018626Z,4,2025-01-08T02:42:23.436018626Z,/tangrams/270_223.png,2025-01-08T03:08:46.028471067Z,2,2025-01-08T02:42:24.726594051Z,TRUE,2025-01-08T03:08:30.263747207Z,"[""/tangrams/267_63.png"",""/tangrams/254_36.png"",""/tangrams/270_223.png"",""/tangrams/187_188.png""]",2025-01-08T02:42:23.436018626Z,/tangrams/270_223.png,2025-01-08T02:42:23.436018626Z,8,2025-01-08T02:42:23.436018626Z,55,2025-01-08T02:42:23.436018626Z
01JH1WYE1BGAEV3CZBSMF6NFMN,01JH1RZ3FXNX28XM2FHQ5ANPD8,2025-01-08T02:47:21.387783727Z,"[{""text"":""six spikes and a diamond on each side"",""sender"":{""id"":""01JH1WP8T8D8942KJP7939E0QY"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-08T03:03:28.657880084Z,01JH1WP8T8D8942KJP7939E0QY,TRUE,2025-01-08T03:03:42.912421726Z,TRUE,2025-01-08T03:03:42.901180513Z,01JH1RZ3GD0THX4NKEW5HKYMMW,2025-01-08T02:47:21.387783727Z,28,2025-01-08T02:47:21.387783727Z,65,2025-01-08T02:47:21.387783727Z,1,2025-01-08T02:47:21.387783727Z,4,2025-01-08T02:47:21.387783727Z,/tangrams/135_287.png,2025-01-08T03:03:42.912421726Z,2,2025-01-08T02:47:22.374510642Z,TRUE,2025-01-08T03:03:08.07868963Z,"[""/tangrams/135_287.png"",""/tangrams/135_367.png"",""/tangrams/199_367.png"",""/tangrams/199_287.png""]",2025-01-08T02:47:21.387783727Z,/tangrams/135_287.png,2025-01-08T02:47:21.387783727Z,13,2025-01-08T02:47:21.387783727Z,28,2025-01-08T02:47:21.387783727Z
01JH1WYE1W34C7KN1SA87S0SMH,01JH1RZ3FXNX28XM2FHQ5ANPD8,2025-01-08T02:47:21.404876486Z,"[{""text"":""looks like Eb with a diamond on the right"",""sender"":{""id"":""01JH1WP8T8D8942KJP7939E0QY"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-08T02:56:57.46370552Z,01JH1WP8T8D8942KJP7939E0QY,TRUE,2025-01-08T02:57:11.201208359Z,TRUE,2025-01-08T02:57:11.189512085Z,01JH1RZ3GD0THX4NKEW5HKYMMW,2025-01-08T02:47:21.404876486Z,14,2025-01-08T02:47:21.404876486Z,65,2025-01-08T02:47:21.404876486Z,0,2025-01-08T02:47:21.404876486Z,4,2025-01-08T02:47:21.404876486Z,/tangrams/135_364.png,2025-01-08T02:57:11.201208359Z,2,2025-01-08T02:47:21.970932209Z,TRUE,2025-01-08T02:56:38.276108477Z,"[""/tangrams/135_287.png"",""/tangrams/461_364.png"",""/tangrams/135_364.png"",""/tangrams/461_287.png""]",2025-01-08T02:47:21.404876486Z,/tangrams/135_364.png,2025-01-08T02:47:21.404876486Z,15,2025-01-08T02:47:21.404876486Z,14,2025-01-08T02:47:21.404876486Z
01JH1X432056KBFWBZPZE4D25Z,01JH1WW7QKT734J4BTTP6T2BKS,2025-01-08T02:50:26.752821793Z,"[{""text"":""disfigured human head with white eyes and diamond by the side"",""sender"":{""id"":""01JH1WQ89WAW76SBJ8QEW6ARRB"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-08T03:06:11.781530882Z,01JH1WQ89WAW76SBJ8QEW6ARRB,TRUE,2025-01-08T03:06:22.115671027Z,TRUE,2025-01-08T03:06:22.105052619Z,01JH1WW7R5Q785SD4MBPFQ5QYB,2025-01-08T02:50:26.752821793Z,16,2025-01-08T02:50:26.752821793Z,65,2025-01-08T02:50:26.752821793Z,1,2025-01-08T02:50:26.752821793Z,4,2025-01-08T02:50:26.752821793Z,/tangrams/262_418.png,2025-01-08T03:06:22.115671027Z,2,2025-01-08T02:50:27.467068827Z,TRUE,2025-01-08T03:05:28.98943732Z,"[""/tangrams/262_3.png"",""/tangrams/408_3.png"",""/tangrams/262_418.png"",""/tangrams/408_418.png""]",2025-01-08T02:50:26.752821793Z,/tangrams/262_418.png,2025-01-08T02:50:26.752821793Z,1,2025-01-08T02:50:26.752821793Z,16,2025-01-08T02:50:26.752821793Z
01JH1VNHH42THYQGC941J6EVY7,01JH1RNKCC69MGANW7P8YZKMM5,2025-01-08T02:25:01.476636259Z,"[{""text"":""White triangle"",""sender"":{""id"":""01JH1VEPKR55R7V6827PAH8PT2"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-08T02:49:11.920293511Z,01JH1VEPKR55R7V6827PAH8PT2,TRUE,2025-01-08T02:49:17.639132225Z,TRUE,2025-01-08T02:49:17.628937333Z,01JH1RNKD2HQ69CE1BZAFW44AV,2025-01-08T02:25:01.476636259Z,59,2025-01-08T02:25:01.476636259Z,65,2025-01-08T02:25:01.476636259Z,3,2025-01-08T02:25:01.476636259Z,4,2025-01-08T02:25:01.476636259Z,/tangrams/406_36.png,2025-01-08T02:49:17.639132225Z,2,2025-01-08T02:25:02.576309096Z,TRUE,2025-01-08T02:49:07.548465943Z,"[""/tangrams/191_115.png"",""/tangrams/166_11.png"",""/tangrams/406_36.png"",""/tangrams/296_96.png""]",2025-01-08T02:25:01.476636259Z,/tangrams/406_36.png,2025-01-08T02:25:01.476636259Z,12,2025-01-08T02:25:01.476636259Z,59,2025-01-08T02:25:01.476636259Z
01JH1VR7ZH2P2R08VZ3BHV05TY,01JH1RZ3FXNX28XM2FHQ5ANPD8,2025-01-08T02:26:30.001901623Z,,,,,,FALSE,2025-01-08T02:26:30.001901623Z,01JH1RZ3GH74K3GNA5D6GHEBK3,2025-01-08T02:26:30.001901623Z,39,2025-01-08T02:26:30.001901623Z,65,2025-01-08T02:26:30.001901623Z,2,2025-01-08T02:26:30.001901623Z,4,2025-01-08T02:26:30.001901623Z,,,2,2025-01-08T02:26:30.66860613Z,FALSE,2025-01-08T02:26:30.001901623Z,"[""/tangrams/431_465.png"",""/tangrams/280_202.png"",""/tangrams/142_421.png"",""/tangrams/81_320.png""]",2025-01-08T02:26:30.001901623Z,/tangrams/280_202.png,2025-01-08T02:26:30.001901623Z,8,2025-01-08T02:26:30.001901623Z,39,2025-01-08T02:26:30.001901623Z
01JH1WYDY5P7NKFGR4MCGDQ3D3,01JH1RZ3FXNX28XM2FHQ5ANPD8,2025-01-08T02:47:21.285587284Z,"[{""text"":""The shape has a H shape on the right hand side of a zig zag line."",""sender"":{""id"":""01JH1W844PEPXGPH133G5BRWG4"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}},{""text"":""I meant to say facing right. SORRY"",""sender"":{""id"":""01JH1WP8T8D8942KJP7939E0QY"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}}]",2025-01-08T02:48:56.531877989Z,01JH1W844PEPXGPH133G5BRWG4,TRUE,2025-01-08T02:49:16.595705324Z,TRUE,2025-01-08T02:49:16.580784002Z,01JH1RZ3GD0THX4NKEW5HKYMMW,2025-01-08T02:47:21.285587284Z,1,2025-01-08T02:47:21.285587284Z,65,2025-01-08T02:47:21.285587284Z,0,2025-01-08T02:47:21.285587284Z,4,2025-01-08T02:47:21.285587284Z,/tangrams/265_364.png,2025-01-08T02:49:16.595705324Z,2,2025-01-08T02:47:21.632139135Z,TRUE,2025-01-08T02:48:32.582020125Z,"[""/tangrams/265_364.png"",""/tangrams/265_443.png"",""/tangrams/199_443.png"",""/tangrams/199_364.png""]",2025-01-08T02:47:21.285587284Z,/tangrams/265_364.png,2025-01-08T02:47:21.285587284Z,2,2025-01-08T02:47:21.285587284Z,1,2025-01-08T02:47:21.285587284Z
01JH1X4301NMT619678CZ5SVDZ,01JH1WW7QKT734J4BTTP6T2BKS,2025-01-08T02:50:26.689485377Z,"[{""text"":""go ahead"",""sender"":{""id"":""01JH1WQ89WAW76SBJ8QEW6ARRB"",""name"":""Minu"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Minu""}},{""text"":""diamond right side with no arrow down"",""sender"":{""id"":""01JH1WKJ5B3Y9N2DMYFJ8PHE5B"",""name"":""Repi"",""avatar"":""https://api.dicebear.com/8.x/rings/svg?seed=Repi""}}]",2025-01-08T03:03:13.00428782Z,01JH1WKJ5B3Y9N2DMYFJ8PHE5B,TRUE,2025-01-08T03:03:28.121671687Z,TRUE,2025-01-08T03:03:28.108676663Z,01JH1WW7R5Q785SD4MBPFQ5QYB,2025-01-08T02:50:26.689485377Z,13,2025-01-08T02:50:26.689485377Z,65,2025-01-08T02:50:26.689485377Z,0,2025-01-08T02:50:26.689485377Z,4,2025-01-08T02:50:26.689485377Z,/tangrams/262_402.png,2025-01-08T03:03:28.121671687Z,2,2025-01-08T02:50:27.387887057Z,TRUE,2025-01-08T03:02:41.865172317Z,"[""/tangrams/462_3.png"",""/tangrams/262_3.png"",""/tangrams/462_402.png"",""/tangrams/262_402.png""]",2025-01-08T02:50:26.689485377Z,/tangrams/262_402.png,2025-01-08T02:50:26.689485377Z,14,2025-01-08T02:50:26.689485377Z,13,2025-01-08T02:50:26.689485377Z
