id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JFG6S17MDRMQK5K2DP34Z9GF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T13:37:08.596837-06:00,,,true,2024-12-19T13:37:08.618488-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T13:37:08.596837-06:00,terminated,2024-12-19T13:42:42.795694-06:00
01JFG6QC0921CXW5FF4967Q056,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T13:36:14.0899-06:00,all games finished,2024-12-19T13:41:21.817133-06:00,true,2024-12-19T13:36:14.114716-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T13:36:14.0899-06:00,ended,2024-12-19T13:41:21.817133-06:00
01JFG0D3V0MVAGGZPMBD2CTE5E,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T11:45:46.592799-06:00,all games finished,2024-12-19T11:50:43.504839-06:00,true,2024-12-19T11:45:46.61098-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T11:45:46.592799-06:00,ended,2024-12-19T11:50:43.504839-06:00
01JFG0FCJREX0CTAQCM25KXGZ7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T11:47:01.080124-06:00,all games finished,2024-12-19T11:56:22.898379-06:00,true,2024-12-19T11:47:01.098573-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T11:47:01.080124-06:00,ended,2024-12-19T11:56:22.898379-06:00
01JFG0V9QW0EMZDWEWE40SPFJ8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T11:53:31.38855-06:00,,,true,2024-12-19T11:53:31.407179-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T11:53:31.38855-06:00,terminated,2024-12-19T11:58:18.224157-06:00
01JFG0XPQ9T0GQ5XFKKG0RZPXC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T11:54:50.217668-06:00,,,true,2024-12-19T11:54:50.236846-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T11:54:50.217668-06:00,terminated,2024-12-19T11:58:20.380393-06:00
01JFG14RVQJVBNAMMHY6V9T72K,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T11:58:41.783914-06:00,,,true,2024-12-19T11:58:41.808401-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T11:58:41.783914-06:00,terminated,2024-12-19T13:36:12.282112-06:00
01JFG738MV5TW8KEPMZJG8KZ91,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T13:42:43.867867-06:00,all games finished,2024-12-19T13:47:35.456629-06:00,true,2024-12-19T13:42:43.883139-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T13:42:43.867867-06:00,ended,2024-12-19T13:47:35.456629-06:00
01JFG74Q3TWZGNJJRN8SVZVXF6,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T13:43:31.45101-06:00,all games finished,2024-12-19T13:48:42.691782-06:00,true,2024-12-19T13:43:31.481331-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T13:43:31.45101-06:00,ended,2024-12-19T13:48:42.691782-06:00
01JFG07Q50JREBFW5W2ZRTAGVC,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""full-comp-between"",""factors"":{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}},""count"":1}]}}",2024-12-19T11:42:49.760292-06:00,,,true,2024-12-19T11:42:49.784857-06:00,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-12-19T11:42:49.760292-06:00,terminated,2024-12-19T11:58:16.309979-06:00
