id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01JFG08TNWW37RZ46839J43GZ1,01JFG07Q50JREBFW5W2ZRTAGVC,2024-12-19T11:43:26.140347-06:00,01JFG07Q5R9467M5A2GGPKBXKG,2024-12-19T11:43:26.140347-06:00,01JFG08DVBJC2Z9ZN00GSKRAHT,2024-12-19T11:43:26.140347-06:00
01JFG0DYR772X0DP268ABVJBXK,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.151252-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.151252-06:00,01JFG0D7MSZ09W7EWY0Q08AZ0J,2024-12-19T11:46:14.151252-06:00
01JFG0RSZ5KACBTQBEW7EPEZH8,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:52:09.701839-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:52:09.701839-06:00,01JFG0FQFEGTCV9C24GCYXQJYK,2024-12-19T11:52:09.701839-06:00
01JFG74E4V8XWYKCFBSG3Q96G6,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:43:22.267954-06:00,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:43:22.267954-06:00,01JFG73J7R43Z4XV0457CH3BF0,2024-12-19T13:43:22.267954-06:00
01JFG08TNWW37RZ4683348K04M,01JFG07Q50JREBFW5W2ZRTAGVC,2024-12-19T11:43:26.140131-06:00,01JFG07Q5R9467M5A2GGPKBXKG,2024-12-19T11:43:26.140131-06:00,01JFG081KQVJEFJ5NY8K8DS112,2024-12-19T11:43:26.140131-06:00
01JFG0DYR772X0DP268GKNJ29Z,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.151371-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.151371-06:00,01JFG0DMQ791QR765QJNTD7TEF,2024-12-19T11:46:14.151371-06:00
01JFG74E4XESFWVYXRN7BVEXFT,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:43:22.269366-06:00,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:43:22.269366-06:00,01JFG743WKH3HTC30MXDFW0WDH,2024-12-19T13:43:22.269366-06:00
01JFG75ZK4VV2AXY2AR1N0NNP6,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:44:12.900733-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:44:12.900733-06:00,01JFG75J96YQFV5KR1YZ37PK9Q,2024-12-19T13:44:12.900733-06:00
01JFG0RSZ6D401T3WK4CS3904V,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:52:09.702323-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:52:09.702323-06:00,01JFG0R5N0EJCE8E0QW1TQKRH2,2024-12-19T11:52:09.702323-06:00
01JFG6T7ENY5BY6NVKG5FZBE4C,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:37:47.733303-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:47.733303-06:00,01JFG6SBNJP4P2M6WPRXJPSV75,2024-12-19T13:37:47.733303-06:00
01JFG6RMQ79H1HFN2ZS713X1Z2,01JFG6QC0921CXW5FF4967Q056,2024-12-19T13:36:55.783956-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:36:55.783956-06:00,01JFG6QPTW174VE4DDXZKDXRJ6,2024-12-19T13:36:55.783956-06:00
01JFG6RMQ80BEMDW2WXRC74S5M,01JFG6QC0921CXW5FF4967Q056,2024-12-19T13:36:55.784686-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:36:55.784686-06:00,01JFG6QW5WQRGYN894KFQ72ESY,2024-12-19T13:36:55.784686-06:00
01JFG6T7EPTVW2TF3BE8TPSC7B,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:37:47.734551-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:47.734551-06:00,01JFG6SGC9GNKPH546S5S8CHKS,2024-12-19T13:37:47.734551-06:00
01JFG75ZK24BFX1DZWF9J8DFCG,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:44:12.898511-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:44:12.898511-06:00,01JFG751VFRQNSEXQ3AB6PNXZE,2024-12-19T13:44:12.898511-06:00
