id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01JFG6W5RFQPR5YPP7GJ2QMMBA,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:38:51.53584-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:38:51.53584-06:00,01JFG6SBNJP4P2M6WPRXJPSV75,2024-12-19T13:38:51.53584-06:00,01JFG6T7G79FRZPMPVCQ85P8SP,2024-12-19T13:38:51.53584-06:00
01JFG76CH3BCRG5W2ED2P8WZ0E,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:44:26.147875-06:00,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:44:26.147875-06:00,01JFG73J7R43Z4XV0457CH3BF0,2024-12-19T13:44:26.147875-06:00,01JFG74E6G7ENGSD8V9MQKAMJT,2024-12-19T13:44:26.147875-06:00
01JFG700ZYQ8J5JWTY9SZDN0QM,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:40:57.72655-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:40:57.72655-06:00,01JFG6SGC9GNKPH546S5S8CHKS,2024-12-19T13:40:57.72655-06:00,01JFG6T7G9EG27DPGR1V8PMB03,2024-12-19T13:40:57.72655-06:00
01JFG6YTWYJNZQ5BWBDYNR9H3N,01JFG6QC0921CXW5FF4967Q056,2024-12-19T13:40:18.718707-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:40:18.718707-06:00,01JFG6QW5WQRGYN894KFQ72ESY,2024-12-19T13:40:18.718707-06:00,01JFG6RMRYNWKPC0BN1DQ878VQ,2024-12-19T13:40:18.718707-06:00
01JFG0EFDB78JJQRVX346BT2WP,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:31.211692-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:31.211692-06:00,01JFG0DMQ791QR765QJNTD7TEF,2024-12-19T11:46:31.211692-06:00,01JFG0DYSHKHF2ZW4FVRH935M3,2024-12-19T11:46:31.211692-06:00
01JFG0GD049T2N4FKVDTEYNJZN,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:47:34.276699-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:47:34.276699-06:00,01JFG0DMQ791QR765QJNTD7TEF,2024-12-19T11:47:34.276699-06:00,01JFG0DYSMCGK45S0DKTV0X9VS,2024-12-19T11:47:34.276699-06:00
01JFG6RN5JEH1QRWKNWMW2SSE3,01JFG6QC0921CXW5FF4967Q056,2024-12-19T13:36:56.242151-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:36:56.242151-06:00,01JFG6QPTW174VE4DDXZKDXRJ6,2024-12-19T13:36:56.242151-06:00,01JFG6RMRVZP6APGBEFZWAYED8,2024-12-19T13:36:56.242151-06:00
01JFG78E48XJV5WYR6XY1A19BX,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:45:33.320166-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:45:33.320166-06:00,01JFG751VFRQNSEXQ3AB6PNXZE,2024-12-19T13:45:33.320166-06:00,01JFG75ZN12161RX8GM7YBQTB7,2024-12-19T13:45:33.320166-06:00
01JFG7A7S3G4P5T3HBZN86XF3C,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:46:32.355374-06:00,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:46:32.355374-06:00,01JFG743WKH3HTC30MXDFW0WDH,2024-12-19T13:46:32.355374-06:00,01JFG74E6KAFQYR8DFSD6QX4D1,2024-12-19T13:46:32.355374-06:00
01JFG0GD049T2N4FKVE5NMVHS3,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:47:34.276893-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:47:34.276893-06:00,01JFG0D7MSZ09W7EWY0Q08AZ0J,2024-12-19T11:47:34.276893-06:00,01JFG0DYSMCGK45S0DKTV0X9VS,2024-12-19T11:47:34.276893-06:00
01JFG0M869FRMMZR6C1RXW5TH4,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:49:40.425237-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:49:40.425237-06:00,01JFG0DMQ791QR765QJNTD7TEF,2024-12-19T11:49:40.425237-06:00,01JFG0DYSNNRDCAMV3F1HEDKKG,2024-12-19T11:49:40.425237-06:00
01JFG0WP1WNR93J2QH879AVV7C,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:54:16.764163-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:54:16.764163-06:00,01JFG0FQFEGTCV9C24GCYXQJYK,2024-12-19T11:54:16.764163-06:00,01JFG0RT0GJMSZZ43K01DCY974,2024-12-19T11:54:16.764163-06:00
01JFG0WP1WNR93J2QH8JTZSHCA,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:54:16.764619-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:54:16.764619-06:00,01JFG0R5N0EJCE8E0QW1TQKRH2,2024-12-19T11:54:16.764619-06:00,01JFG0RT0GJMSZZ43K01DCY974,2024-12-19T11:54:16.764619-06:00
01JFG74EMENCTCCZSR4M6YFDXM,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:43:22.766127-06:00,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:43:22.766127-06:00,01JFG743WKH3HTC30MXDFW0WDH,2024-12-19T13:43:22.766127-06:00,01JFG74E6D5N900AY453W0V9J0,2024-12-19T13:43:22.766127-06:00
01JFG76GGDSBMHYYQWP73PNFD7,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:44:30.221491-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:44:30.221491-06:00,01JFG751VFRQNSEXQ3AB6PNXZE,2024-12-19T13:44:30.221491-06:00,01JFG75ZMMDVYR309WEHXX88K7,2024-12-19T13:44:30.221491-06:00
01JFG0DZHXBYNZEK8A9PK8ZP54,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.973671-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.973671-06:00,01JFG0D7MSZ09W7EWY0Q08AZ0J,2024-12-19T11:46:14.973671-06:00,01JFG0DYSEDM64K5AYETTA3RVC,2024-12-19T11:46:14.973671-06:00
01JFG0JAK47RESHQK5Z27NTNV9,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:48:37.348495-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:48:37.348495-06:00,01JFG0DMQ791QR765QJNTD7TEF,2024-12-19T11:48:37.348495-06:00,01JFG0DYSR1SAWZYJ4GT23NQSX,2024-12-19T11:48:37.348495-06:00
01JFG0RTTZB9G6RYCW90MJB6PA,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:52:10.591421-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:52:10.591421-06:00,01JFG0FQFEGTCV9C24GCYXQJYK,2024-12-19T11:52:10.591421-06:00,01JFG0RT09RKV5YB9XSJJR2KMX,2024-12-19T11:52:10.591421-06:00
01JFG0YKMVHE3B9C2YFX966DAB,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:55:19.835687-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:55:19.835687-06:00,01JFG0R5N0EJCE8E0QW1TQKRH2,2024-12-19T11:55:19.835687-06:00,01JFG0RT0PCS1EV1PGD4HA075Q,2024-12-19T11:55:19.835687-06:00
01JFG6WX96JS4XQX419G2V9WA7,01JFG6QC0921CXW5FF4967Q056,2024-12-19T13:39:15.622754-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:39:15.622754-06:00,01JFG6QPTW174VE4DDXZKDXRJ6,2024-12-19T13:39:15.622754-06:00,01JFG6RMRYNWKPC0BMXSWMS6SM,2024-12-19T13:39:15.622754-06:00
01JFG700ZYQ8J5JWTY9ESQG2XJ,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:40:57.726156-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:40:57.726156-06:00,01JFG6SBNJP4P2M6WPRXJPSV75,2024-12-19T13:40:57.726156-06:00,01JFG6T7G9EG27DPGR1V8PMB03,2024-12-19T13:40:57.726156-06:00
01JFG0E96M3W34QBMMXTSXH06Y,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:24.852589-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:24.852589-06:00,01JFG0D7MSZ09W7EWY0Q08AZ0J,2024-12-19T11:46:24.852589-06:00,01JFG0DYSJ1SGSBF8DXFPE50EZ,2024-12-19T11:46:24.852589-06:00
01JFG0TRE9XHDXB6TWY18PR56F,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:53:13.673953-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:53:13.673953-06:00,01JFG0R5N0EJCE8E0QW1TQKRH2,2024-12-19T11:53:13.673953-06:00,01JFG0RT0FR86XER1VDM9SEVAN,2024-12-19T11:53:13.673953-06:00
01JFG74EMD0FF8BSR0ZQVKXBEC,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:43:22.765936-06:00,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:43:22.765936-06:00,01JFG73J7R43Z4XV0457CH3BF0,2024-12-19T13:43:22.765936-06:00,01JFG74E6D5N900AY453W0V9J0,2024-12-19T13:43:22.765936-06:00
01JFG7A7S2SXX9P91E12KRV3CA,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:46:32.354694-06:00,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:46:32.354694-06:00,01JFG73J7R43Z4XV0457CH3BF0,2024-12-19T13:46:32.354694-06:00,01JFG74E6KAFQYR8DFSD6QX4D1,2024-12-19T13:46:32.354694-06:00
01JFG7ABR2C36Q3GFT93KXZSSD,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:46:36.418941-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:46:36.418941-06:00,01JFG751VFRQNSEXQ3AB6PNXZE,2024-12-19T13:46:36.418941-06:00,01JFG75ZMW00MJWP4XVSVFHFSH,2024-12-19T13:46:36.418941-06:00
01JFG76036KMDNEJ5WS2WR7HS4,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:44:13.414779-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:44:13.414779-06:00,01JFG75J96YQFV5KR1YZ37PK9Q,2024-12-19T13:44:13.414779-06:00,01JFG75ZMHFT34H6P1SERG5FZE,2024-12-19T13:44:13.414779-06:00
01JFG0DZHXBYNZEK8A9BKCYZKK,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.973493-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.973493-06:00,01JFG0DMQ791QR765QJNTD7TEF,2024-12-19T11:46:14.973493-06:00,01JFG0DYSEDM64K5AYETTA3RVC,2024-12-19T11:46:14.973493-06:00
