id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01JFG0J7M9A8NVSFRNFSZ365JG,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:48:34.313544-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:48:34.313544-06:00,01JFG0DMQ791QR765QJNTD7TEF,2024-12-19T11:48:34.313544-06:00,01JFG0DYSMCGK45S0DKTV0X9VS,2024-12-19T11:48:34.313544-06:00,01JFG0DYTY16Y8D0B17Y2N89S7,2024-12-19T11:48:34.313544-06:00,,
01JFG7ABRCT0DNQ3ZJ4P42ZNB9,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:46:36.428959-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:46:36.428959-06:00,01JFG75J96YQFV5KR1YZ37PK9Q,2024-12-19T13:46:36.428959-06:00,01JFG75ZMW00MJWP4XVSVFHFSH,2024-12-19T13:46:36.428959-06:00,01JFG75ZP0BFNABKKZZJ4VYXGY,2024-12-19T13:46:36.428959-06:00,,
01JFG7ABRCT0DNQ3ZJ482GG0FM,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:46:36.428517-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:46:36.428517-06:00,01JFG751VFRQNSEXQ3AB6PNXZE,2024-12-19T13:46:36.428517-06:00,01JFG75ZMW00MJWP4XVSVFHFSH,2024-12-19T13:46:36.428517-06:00,01JFG75ZP0BFNABKKZZJ4VYXGY,2024-12-19T13:46:36.428517-06:00,,
01JFG0YKN228EMK3MZ4YXX9B3W,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:55:19.842097-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:55:19.842097-06:00,01JFG0FQFEGTCV9C24GCYXQJYK,2024-12-19T11:55:19.842097-06:00,01JFG0RT0PCS1EV1PGD4HA075Q,2024-12-19T11:55:19.842097-06:00,01JFG0RT1SQ5CQMD83Z10BJ2ZM,2024-12-19T11:55:19.842097-06:00,,
01JFG10E8V0GXPMFBWKAFZ4JTB,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:56:19.867884-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:56:19.867884-06:00,01JFG0R5N0EJCE8E0QW1TQKRH2,2024-12-19T11:56:19.867884-06:00,01JFG0RT0PCS1EV1PGD4HA075Q,2024-12-19T11:56:19.867884-06:00,01JFG0RT1SQ5CQMD83ZWS0MRT3,2024-12-19T11:56:19.867884-06:00,,
01JFG6YQXPZC6DFZ5FSAXF03Z0,01JFG6QC0921CXW5FF4967Q056,2024-12-19T13:40:15.670833-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:40:15.670833-06:00,01JFG6QPTW174VE4DDXZKDXRJ6,2024-12-19T13:40:15.670833-06:00,01JFG6RMRYNWKPC0BMXSWMS6SM,2024-12-19T13:40:15.670833-06:00,01JFG6RMT4QKBQF9XEEQ5K2G2F,2024-12-19T13:40:15.670833-06:00,,
01JFG76DH3M32MWFQCC3PEWKQ8,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:44:27.171404-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:44:27.171404-06:00,01JFG75J96YQFV5KR1YZ37PK9Q,2024-12-19T13:44:27.171404-06:00,01JFG75ZMHFT34H6P1SERG5FZE,2024-12-19T13:44:27.171404-06:00,01JFG75ZNA8ZSGKR4N1KX7XJYS,2024-12-19T13:44:27.171404-06:00,,
01JFG78E4HM9GT8ZQTJ7D0K7MQ,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:45:33.32937-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:45:33.32937-06:00,01JFG751VFRQNSEXQ3AB6PNXZE,2024-12-19T13:45:33.32937-06:00,01JFG75ZN12161RX8GM7YBQTB7,2024-12-19T13:45:33.32937-06:00,01JFG75ZNW3VFBK1VHHSYCJGZJ,2024-12-19T13:45:33.32937-06:00,,
01JFG0E96XY4VZX515X41B2NFG,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:24.861552-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:24.861552-06:00,01JFG0D7MSZ09W7EWY0Q08AZ0J,2024-12-19T11:46:24.861552-06:00,01JFG0DYSJ1SGSBF8DXFPE50EZ,2024-12-19T11:46:24.861552-06:00,01JFG0DYTRMP7TH30FA94WBZCN,2024-12-19T11:46:24.861552-06:00,true,2024-12-19T11:46:28.145906-06:00
01JFG6RZ282XZNVNSG393PT926,01JFG6QC0921CXW5FF4967Q056,2024-12-19T13:37:06.376935-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:37:06.376935-06:00,01JFG6QPTW174VE4DDXZKDXRJ6,2024-12-19T13:37:06.376935-06:00,01JFG6RMRVZP6APGBEFZWAYED8,2024-12-19T13:37:06.376935-06:00,01JFG6RMS3TPATJFBN3T70ZTN9,2024-12-19T13:37:06.376935-06:00,,
