id,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,correct,correctLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,numTrials,numTrialsLastChangedAt,repNum,repNumLastChangedAt,reps,repsLastChangedAt,response,responseLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt,tangramURLs,tangramURLsLastChangedAt,target,targetLastChangedAt,targetNum,targetNumLastChangedAt,trialNum,trialNumLastChangedAt
01JFG0DYT164TDVMDR1381Z274,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.20951-06:00,,,,,false,2024-12-19T11:46:14.20951-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.20951-06:00,48,2024-12-19T11:46:14.20951-06:00,65,2024-12-19T11:46:14.20951-06:00,3,2024-12-19T11:46:14.20951-06:00,4,2024-12-19T11:46:14.20951-06:00,,,2,2024-12-19T11:46:14.378663-06:00,false,2024-12-19T11:46:14.20951-06:00,"[""/tangrams/387_1.png"",""/tangrams/431_390.png"",""/tangrams/201_7.png"",""/tangrams/279_231.png""]",2024-12-19T11:46:14.20951-06:00,/tangrams/279_231.png,2024-12-19T11:46:14.20951-06:00,1,2024-12-19T11:46:14.20951-06:00,48,2024-12-19T11:46:14.20951-06:00
01JFG6T7GY5JTY4PGKMHJNPQS7,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:37:47.806208-06:00,,,,,false,2024-12-19T13:37:47.806208-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:47.806208-06:00,44,2024-12-19T13:37:47.806208-06:00,65,2024-12-19T13:37:47.806208-06:00,2,2024-12-19T13:37:47.806208-06:00,4,2024-12-19T13:37:47.806208-06:00,,,2,2024-12-19T13:37:47.954425-06:00,false,2024-12-19T13:37:47.806208-06:00,"[""/tangrams/34_122.png"",""/tangrams/344_155.png"",""/tangrams/111_83.png"",""/tangrams/417_221.png""]",2024-12-19T13:37:47.806208-06:00,/tangrams/417_221.png,2024-12-19T13:37:47.806208-06:00,13,2024-12-19T13:37:47.806208-06:00,44,2024-12-19T13:37:47.806208-06:00
01JFG6T7GZD4G1R7APQF8GC4VN,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:37:47.807111-06:00,,,,,false,2024-12-19T13:37:47.807111-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:47.807111-06:00,47,2024-12-19T13:37:47.807111-06:00,65,2024-12-19T13:37:47.807111-06:00,2,2024-12-19T13:37:47.807111-06:00,4,2024-12-19T13:37:47.807111-06:00,,,2,2024-12-19T13:37:47.962942-06:00,false,2024-12-19T13:37:47.807111-06:00,"[""/tangrams/344_221.png"",""/tangrams/34_122.png"",""/tangrams/111_155.png"",""/tangrams/417_83.png""]",2024-12-19T13:37:47.807111-06:00,/tangrams/344_221.png,2024-12-19T13:37:47.807111-06:00,16,2024-12-19T13:37:47.807111-06:00,47,2024-12-19T13:37:47.807111-06:00
01JFG75ZMZ884ZKAY1FAWFXH5H,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:44:12.959772-06:00,,,,,false,2024-12-19T13:44:12.959772-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:44:12.959772-06:00,24,2024-12-19T13:44:12.959772-06:00,65,2024-12-19T13:44:12.959772-06:00,1,2024-12-19T13:44:12.959772-06:00,4,2024-12-19T13:44:12.959772-06:00,,,2,2024-12-19T13:44:13.062908-06:00,false,2024-12-19T13:44:12.959772-06:00,"[""/tangrams/187_175.png"",""/tangrams/21_24.png"",""/tangrams/138_304.png"",""/tangrams/63_350.png""]",2024-12-19T13:44:12.959772-06:00,/tangrams/63_350.png,2024-12-19T13:44:12.959772-06:00,9,2024-12-19T13:44:12.959772-06:00,24,2024-12-19T13:44:12.959772-06:00
01JFG75ZN3XEYGBQRX3WKRT5VS,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:44:12.963554-06:00,,,,,false,2024-12-19T13:44:12.963554-06:00,01JFG74Q4T878VSX7X3X4TEVFY,2024-12-19T13:44:12.963554-06:00,39,2024-12-19T13:44:12.963554-06:00,65,2024-12-19T13:44:12.963554-06:00,2,2024-12-19T13:44:12.963554-06:00,4,2024-12-19T13:44:12.963554-06:00,,,2,2024-12-19T13:44:13.108555-06:00,false,2024-12-19T13:44:12.963554-06:00,"[""/tangrams/138_24.png"",""/tangrams/21_304.png"",""/tangrams/187_175.png"",""/tangrams/63_350.png""]",2024-12-19T13:44:12.963554-06:00,/tangrams/21_304.png,2024-12-19T13:44:12.963554-06:00,8,2024-12-19T13:44:12.963554-06:00,39,2024-12-19T13:44:12.963554-06:00
01JFG0RT167A3Z0FT41J73S8PZ,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:52:09.766676-06:00,,,,,false,2024-12-19T11:52:09.766676-06:00,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:52:09.766676-06:00,55,2024-12-19T11:52:09.766676-06:00,65,2024-12-19T11:52:09.766676-06:00,3,2024-12-19T11:52:09.766676-06:00,4,2024-12-19T11:52:09.766676-06:00,,,2,2024-12-19T11:52:09.951426-06:00,false,2024-12-19T11:52:09.766676-06:00,"[""/tangrams/235_137.png"",""/tangrams/320_401.png"",""/tangrams/189_347.png"",""/tangrams/283_276.png""]",2024-12-19T11:52:09.766676-06:00,/tangrams/283_276.png,2024-12-19T11:52:09.766676-06:00,8,2024-12-19T11:52:09.766676-06:00,55,2024-12-19T11:52:09.766676-06:00
01JFG6RMRYNWKPC0BN0K8XXQE2,01JFG6QC0921CXW5FF4967Q056,2024-12-19T13:36:55.838715-06:00,,,,,false,2024-12-19T13:36:55.838715-06:00,01JFG6QC12SF7XMRKQ7J4H2WNJ,2024-12-19T13:36:55.838715-06:00,6,2024-12-19T13:36:55.838715-06:00,65,2024-12-19T13:36:55.838715-06:00,0,2024-12-19T13:36:55.838715-06:00,4,2024-12-19T13:36:55.838715-06:00,,,2,2024-12-19T13:36:55.886885-06:00,false,2024-12-19T13:36:55.838715-06:00,"[""/tangrams/134_1.png"",""/tangrams/180_245.png"",""/tangrams/373_121.png"",""/tangrams/286_156.png""]",2024-12-19T13:36:55.838715-06:00,/tangrams/286_156.png,2024-12-19T13:36:55.838715-06:00,7,2024-12-19T13:36:55.838715-06:00,6,2024-12-19T13:36:55.838715-06:00
01JFG6T7GY5JTY4PGKNF6NF67G,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:37:47.806433-06:00,,,,,false,2024-12-19T13:37:47.806433-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:47.806433-06:00,51,2024-12-19T13:37:47.806433-06:00,65,2024-12-19T13:37:47.806433-06:00,3,2024-12-19T13:37:47.806433-06:00,4,2024-12-19T13:37:47.806433-06:00,,,2,2024-12-19T13:37:47.974404-06:00,false,2024-12-19T13:37:47.806433-06:00,"[""/tangrams/344_83.png"",""/tangrams/34_221.png"",""/tangrams/111_155.png"",""/tangrams/417_122.png""]",2024-12-19T13:37:47.806433-06:00,/tangrams/34_221.png,2024-12-19T13:37:47.806433-06:00,4,2024-12-19T13:37:47.806433-06:00,51,2024-12-19T13:37:47.806433-06:00
01JFG6T7GZD4G1R7APS2RF1JXA,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:37:47.807625-06:00,,,,,false,2024-12-19T13:37:47.807625-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:47.807625-06:00,50,2024-12-19T13:37:47.807625-06:00,65,2024-12-19T13:37:47.807625-06:00,3,2024-12-19T13:37:47.807625-06:00,4,2024-12-19T13:37:47.807625-06:00,,,2,2024-12-19T13:37:47.9717-06:00,false,2024-12-19T13:37:47.807625-06:00,"[""/tangrams/111_221.png"",""/tangrams/417_122.png"",""/tangrams/344_83.png"",""/tangrams/34_155.png""]",2024-12-19T13:37:47.807625-06:00,/tangrams/417_122.png,2024-12-19T13:37:47.807625-06:00,3,2024-12-19T13:37:47.807625-06:00,50,2024-12-19T13:37:47.807625-06:00
01JFG6T7H14ZSB3Y70XZ7TDJ9T,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:37:47.809495-06:00,,,,,false,2024-12-19T13:37:47.809495-06:00,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:47.809495-06:00,60,2024-12-19T13:37:47.809495-06:00,65,2024-12-19T13:37:47.809495-06:00,3,2024-12-19T13:37:47.809495-06:00,4,2024-12-19T13:37:47.809495-06:00,,,2,2024-12-19T13:37:48.002641-06:00,false,2024-12-19T13:37:47.809495-06:00,"[""/tangrams/344_122.png"",""/tangrams/417_155.png"",""/tangrams/34_83.png"",""/tangrams/111_221.png""]",2024-12-19T13:37:47.809495-06:00,/tangrams/344_122.png,2024-12-19T13:37:47.809495-06:00,13,2024-12-19T13:37:47.809495-06:00,60,2024-12-19T13:37:47.809495-06:00
01JFG0DYT0HD3TRGJ2EZTJJX7E,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.20857-06:00,,,,,false,2024-12-19T11:46:14.20857-06:00,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.20857-06:00,49,2024-12-19T11:46:14.20857-06:00,65,2024-12-19T11:46:14.20857-06:00,3,2024-12-19T11:46:14.20857-06:00,4,2024-12-19T11:46:14.20857-06:00,,,2,2024-12-19T11:46:14.381452-06:00,false,2024-12-19T11:46:14.20857-06:00,"[""/tangrams/201_231.png"",""/tangrams/387_1.png"",""/tangrams/431_390.png"",""/tangrams/279_7.png""]",2024-12-19T11:46:14.20857-06:00,/tangrams/387_1.png,2024-12-19T11:46:14.20857-06:00,2,2024-12-19T11:46:14.20857-06:00,49,2024-12-19T11:46:14.20857-06:00
