id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JFTQHNREFMA0GZHBXZ6VPC16,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:37.582588213Z,60,2024-12-23T21:42:37.582588213Z,true,2024-12-23T21:48:13.639456418Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:37.582588213Z,0,2024-12-23T21:42:37.582588213Z,true,2024-12-23T21:47:18.30964251Z,selection,2024-12-23T21:42:37.582588213Z,01JFTQHNHDK4HAEZ083A5Q1GK9,2024-12-23T21:42:37.582588213Z,true,2024-12-23T21:47:18.297500925Z,true,2024-12-23T21:47:18.316489388Z,01JFTQHNRBX1HNSK6W9TTAVSR7,2024-12-23T21:42:37.582588213Z
01JFTQHP9FWS94YK4QA1H98T2Z,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:38.128009574Z,3,2024-12-23T21:42:38.128009574Z,true,2024-12-23T22:09:36.383979261Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:38.128009574Z,1,2024-12-23T21:42:38.128009574Z,true,2024-12-23T22:09:33.370317951Z,feedback,2024-12-23T21:42:38.128009574Z,01JFTQHNJHCARRZ0Z503HPYGC6,2024-12-23T21:42:38.128009574Z,true,2024-12-23T22:09:33.354602275Z,true,2024-12-23T22:09:33.382855177Z,01JFTQHP9DC2WD5DCHDVHH2SDA,2024-12-23T21:42:38.128009574Z
01JFTQHPCW6GZYCB2H0ZGN1KZ3,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:38.236227603Z,60,2024-12-23T21:42:38.236227603Z,true,2024-12-23T22:11:36.858301191Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:38.236227603Z,0,2024-12-23T21:42:38.236227603Z,true,2024-12-23T22:11:22.048694867Z,selection,2024-12-23T21:42:38.236227603Z,01JFTQHNM1XR2JSF376Y7PNR5C,2024-12-23T21:42:38.236227603Z,true,2024-12-23T22:11:22.032172119Z,true,2024-12-23T22:11:22.059104888Z,01JFTQHPCNJE135F7G7MDSJ2PV,2024-12-23T21:42:38.236227603Z
01JFTQHNXW7G9769BF2FJ6KT0X,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:37.756475119Z,3,2024-12-23T21:42:37.756475119Z,true,2024-12-23T21:55:28.968934476Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:37.756475119Z,1,2024-12-23T21:42:37.756475119Z,true,2024-12-23T21:55:25.954116234Z,feedback,2024-12-23T21:42:37.756475119Z,01JFTQHNKYYY7XWBQ2ACSQ67A3,2024-12-23T21:42:37.756475119Z,true,2024-12-23T21:55:25.93977086Z,true,2024-12-23T21:55:25.963286748Z,01JFTQHNXRWAMRFNF59HE7YC19,2024-12-23T21:42:37.756475119Z
01JFTQH4SJQNH2412GFAVSZ9GB,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:20.210138891Z,3,2024-12-23T21:42:20.210138891Z,false,2024-12-23T21:42:20.210138891Z,01JFTQCWETJ81EPRJHTFGJ2WYS,2024-12-23T21:42:20.210138891Z,1,2024-12-23T21:42:20.210138891Z,,,feedback,2024-12-23T21:42:20.210138891Z,01JFTQH4AHPA2JBNGTBPXQ4CP9,2024-12-23T21:42:20.210138891Z,false,2024-12-23T21:42:20.210138891Z,,,01JFTQH4SF1JGP1786M94PJJS5,2024-12-23T21:42:20.210138891Z
01JFTQHPA7CSQ4KMWM6ZFE773H,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:38.151944378Z,60,2024-12-23T21:42:38.151944378Z,true,2024-12-23T22:10:02.112793396Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:38.151944378Z,0,2024-12-23T21:42:38.151944378Z,true,2024-12-23T22:09:51.088596369Z,selection,2024-12-23T21:42:38.151944378Z,01JFTQHNJFD6QN3KZGSGXEEJVG,2024-12-23T21:42:38.151944378Z,true,2024-12-23T22:09:51.0750878Z,true,2024-12-23T22:09:51.099379744Z,01JFTQHPA4D6ME7WFFYKDX0SQM,2024-12-23T21:42:38.151944378Z
01JFTQH4RM1QDQC4AQC9MN62QH,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:20.180719466Z,3,2024-12-23T21:42:20.180719466Z,false,2024-12-23T21:42:20.180719466Z,01JFTQCWETJ81EPRJHTFGJ2WYS,2024-12-23T21:42:20.180719466Z,1,2024-12-23T21:42:20.180719466Z,,,feedback,2024-12-23T21:42:20.180719466Z,01JFTQH4AEKTDBSHBXZTWKA65E,2024-12-23T21:42:20.180719466Z,false,2024-12-23T21:42:20.180719466Z,,,01JFTQH4RJQKNWGS8Z1GDNP30H,2024-12-23T21:42:20.180719466Z
01JFTQHNVQ724CSTCQ73F7YZCC,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:37.687440871Z,60,2024-12-23T21:42:37.687440871Z,true,2024-12-23T21:52:50.322029189Z,01JFTQCWEVJMRJ7X1FGENJ4774,2024-12-23T21:42:37.687440871Z,0,2024-12-23T21:42:37.687440871Z,true,2024-12-23T21:52:29.796368522Z,selection,2024-12-23T21:42:37.687440871Z,01JFTQHNJ7XP5JF8E5E3J0MABC,2024-12-23T21:42:37.687440871Z,true,2024-12-23T21:52:29.786550396Z,true,2024-12-23T21:52:29.806492589Z,01JFTQHNVKAJJVBEVNGQSCVZJB,2024-12-23T21:42:37.687440871Z
01JFTQH4WMXY18T7MDG6Y4E04P,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:20.308921735Z,3,2024-12-23T21:42:20.308921735Z,false,2024-12-23T21:42:20.308921735Z,01JFTQCWETJ81EPRJHTFGJ2WYS,2024-12-23T21:42:20.308921735Z,1,2024-12-23T21:42:20.308921735Z,,,feedback,2024-12-23T21:42:20.308921735Z,01JFTQH4AXKP5FE318M0AH4BVE,2024-12-23T21:42:20.308921735Z,false,2024-12-23T21:42:20.308921735Z,,,01JFTQH4WJH605S5G38PD02RC2,2024-12-23T21:42:20.308921735Z
01JFTQH4MTZJ85XEESQJ3SC4PZ,01JFTQCWECTS6937WB79DWJS06,2024-12-23T21:42:20.0580632Z,60,2024-12-23T21:42:20.0580632Z,false,2024-12-23T21:42:20.0580632Z,01JFTQCWETJ81EPRJHTFGJ2WYS,2024-12-23T21:42:20.0580632Z,0,2024-12-23T21:42:20.0580632Z,,,selection,2024-12-23T21:42:20.0580632Z,01JFTQH4BQ2VGPKPTWE0NSQFV1,2024-12-23T21:42:20.0580632Z,false,2024-12-23T21:42:20.0580632Z,,,01JFTQH4MP87WB8ZX3C8QFWWF7,2024-12-23T21:42:20.0580632Z
