id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,bottomTangrams,bottomTangramsLastChangedAt,contextSize,contextSizeLastChangedAt,contextStructure,contextStructureLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,justStarted,justStartedLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,maxTimeout,maxTimeoutLastChangedAt,rotation,rotationLastChangedAt,roundIndex,roundIndexLastChangedAt,showNegativeFeedback,showNegativeFeedbackLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,targets,targetsLastChangedAt,topTangrams,topTangramsLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JFG0D3VKMADYW0PGQ4ZW6MX2,2,2024-12-19T11:46:14.145626-06:00,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:45:46.611274-06:00,"[231,7,390,1]",2024-12-19T11:46:14.224702-06:00,4,2024-12-19T11:46:14.160446-06:00,comp-between,2024-12-19T11:46:14.160446-06:00,true,2024-12-19T11:50:43.501296-06:00,,,01JFG0D3VZMAWMABT0XNCSCG7A,2024-12-19T11:45:46.623828-06:00,true,2024-12-19T11:46:14.224702-06:00,01JFG0DJFMX71VS02KCPVQKFH4,2024-12-19T11:46:01.596598-06:00,3,2024-12-19T11:46:14.160446-06:00,,,63,2024-12-19T11:46:14.224702-06:00,1,2024-12-19T11:46:14.160446-06:00,null,2024-12-19T11:50:43.501296-06:00,true,2024-12-19T11:46:14.145626-06:00,true,2024-12-19T11:46:14.145626-06:00,ended,2024-12-19T11:50:43.49819-06:00,"[[201,231],[201,7],[201,390],[201,1],[431,231],[431,7],[431,390],[431,1],[387,231],[387,7],[387,390],[387,1],[279,231],[279,7],[279,390],[279,1]]",2024-12-19T11:46:14.224702-06:00,"[201,431,387,279]",2024-12-19T11:46:14.224702-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:45:46.611274-06:00,full-comp-between,2024-12-19T11:45:46.611274-06:00
01JFG0XPQX4Q77ZYGF7CWQ9T7X,,,01JFG0XPQ9T0GQ5XFKKG0RZPXC,2024-12-19T11:54:50.237857-06:00,,,,,,,false,2024-12-19T11:54:50.237857-06:00,batch ended,2024-12-19T11:58:20.387183-06:00,01JFG0XPRC0M9JGQY3TCTQ1S48,2024-12-19T11:54:50.253581-06:00,,,,,,,,,,,,,,,false,2024-12-19T11:54:50.237857-06:00,,,terminated,2024-12-19T11:58:20.387183-06:00,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:54:50.237857-06:00,full-comp-between,2024-12-19T11:54:50.237857-06:00
01JFG14RWEHWPWK07ADX8GPE72,,,01JFG14RVQJVBNAMMHY6V9T72K,2024-12-19T11:58:41.806234-06:00,,,,,,,false,2024-12-19T11:58:41.806234-06:00,batch ended,2024-12-19T13:36:12.291906-06:00,01JFG14RWX8AAFEV8R0B22VDE6,2024-12-19T11:58:41.822578-06:00,,,,,,,,,,,,,,,false,2024-12-19T11:58:41.806234-06:00,,,terminated,2024-12-19T13:36:12.291906-06:00,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:58:41.806234-06:00,full-comp-between,2024-12-19T11:58:41.806234-06:00
01JFG6QC12SF7XMRKQ7J4H2WNJ,2,2024-12-19T13:36:55.774515-06:00,01JFG6QC0921CXW5FF4967Q056,2024-12-19T13:36:14.114233-06:00,"[156,121,1,245]",2024-12-19T13:36:55.853272-06:00,4,2024-12-19T13:36:55.795336-06:00,comp-between,2024-12-19T13:36:55.795336-06:00,true,2024-12-19T13:41:21.810455-06:00,,,01JFG6QC1JRYARZXMBRSJS4G24,2024-12-19T13:36:14.132769-06:00,true,2024-12-19T13:36:55.853272-06:00,01JFG6R9ZFBVMENHPF2TY5H511,2024-12-19T13:36:44.79309-06:00,3,2024-12-19T13:36:55.795336-06:00,0,2024-12-19T13:36:55.795336-06:00,63,2024-12-19T13:36:55.853272-06:00,1,2024-12-19T13:36:55.795336-06:00,null,2024-12-19T13:41:21.810455-06:00,true,2024-12-19T13:36:55.774515-06:00,true,2024-12-19T13:36:55.774515-06:00,ended,2024-12-19T13:41:21.806572-06:00,"[[180,156],[180,121],[180,1],[180,245],[134,156],[134,121],[134,1],[134,245],[286,156],[286,121],[286,1],[286,245],[373,156],[373,121],[373,1],[373,245]]",2024-12-19T13:36:55.853272-06:00,"[180,134,286,373]",2024-12-19T13:36:55.853272-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:36:14.114233-06:00,full-comp-between,2024-12-19T13:36:14.114233-06:00
01JFG6S18CN4W09S8QX5ES16HQ,2,2024-12-19T13:37:47.722312-06:00,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:37:08.620076-06:00,"[155,122,221,83]",2024-12-19T13:37:47.813498-06:00,4,2024-12-19T13:37:47.746094-06:00,comp-between,2024-12-19T13:37:47.746094-06:00,true,2024-12-19T13:42:42.875461-06:00,batch ended,2024-12-19T13:42:42.856014-06:00,01JFG6S18QRZWBTJ9CKZ3J8PSN,2024-12-19T13:37:08.633014-06:00,true,2024-12-19T13:37:47.813498-06:00,01JFG6SV06N424WKJHWZRRZR0P,2024-12-19T13:37:34.990727-06:00,3,2024-12-19T13:37:47.746094-06:00,180,2024-12-19T13:37:47.746094-06:00,63,2024-12-19T13:37:47.813498-06:00,1,2024-12-19T13:37:47.746094-06:00,null,2024-12-19T13:42:42.875461-06:00,true,2024-12-19T13:37:47.722312-06:00,true,2024-12-19T13:37:47.722312-06:00,ended,2024-12-19T13:42:42.873853-06:00,"[[417,155],[417,122],[417,221],[417,83],[344,155],[344,122],[344,221],[344,83],[111,155],[111,122],[111,221],[111,83],[34,155],[34,122],[34,221],[34,83]]",2024-12-19T13:37:47.813498-06:00,"[417,344,111,34]",2024-12-19T13:37:47.813498-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:37:08.620076-06:00,full-comp-between,2024-12-19T13:37:08.620076-06:00
01JFG738NCJ8HA0GZ6DND9RMRW,2,2024-12-19T13:43:22.257893-06:00,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:42:43.884705-06:00,"[188,420,140,371]",2024-12-19T13:43:22.343465-06:00,4,2024-12-19T13:43:22.279536-06:00,comp-between,2024-12-19T13:43:22.279536-06:00,true,2024-12-19T13:47:35.448733-06:00,,,01JFG738P05GNDBNFQ1X2RPDNK,2024-12-19T13:42:43.905625-06:00,true,2024-12-19T13:43:22.343465-06:00,01JFG73WXD4441R44B5EF1VXXN,2024-12-19T13:43:04.631204-06:00,3,2024-12-19T13:43:22.279536-06:00,0,2024-12-19T13:43:22.279536-06:00,63,2024-12-19T13:43:22.343465-06:00,1,2024-12-19T13:43:22.279536-06:00,null,2024-12-19T13:47:35.448733-06:00,true,2024-12-19T13:43:22.257893-06:00,true,2024-12-19T13:43:22.257893-06:00,ended,2024-12-19T13:47:35.445316-06:00,"[[460,188],[460,420],[460,140],[460,371],[98,188],[98,420],[98,140],[98,371],[461,188],[461,420],[461,140],[461,371],[302,188],[302,420],[302,140],[302,371]]",2024-12-19T13:43:22.343465-06:00,"[460,98,461,302]",2024-12-19T13:43:22.343465-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:42:43.884705-06:00,full-comp-between,2024-12-19T13:42:43.884705-06:00
01JFG74Q4T878VSX7X3X4TEVFY,2,2024-12-19T13:44:12.88669-06:00,01JFG74Q3TWZGNJJRN8SVZVXF6,2024-12-19T13:43:31.48212-06:00,"[24,175,350,304]",2024-12-19T13:44:12.97585-06:00,4,2024-12-19T13:44:12.913791-06:00,comp-between,2024-12-19T13:44:12.913791-06:00,true,2024-12-19T13:48:42.685173-06:00,,,01JFG74Q54BXSZCGMQVKAB7FAM,2024-12-19T13:43:31.493739-06:00,true,2024-12-19T13:44:12.97585-06:00,01JFG75CH6Z9AW5R3B7ZTJMT16,2024-12-19T13:43:53.392452-06:00,3,2024-12-19T13:44:12.913791-06:00,90,2024-12-19T13:44:12.913791-06:00,63,2024-12-19T13:44:12.97585-06:00,1,2024-12-19T13:44:12.913791-06:00,null,2024-12-19T13:48:42.685173-06:00,true,2024-12-19T13:44:12.88669-06:00,true,2024-12-19T13:44:12.88669-06:00,ended,2024-12-19T13:48:42.682063-06:00,"[[21,24],[21,175],[21,350],[21,304],[187,24],[187,175],[187,350],[187,304],[63,24],[63,175],[63,350],[63,304],[138,24],[138,175],[138,350],[138,304]]",2024-12-19T13:44:12.97585-06:00,"[21,187,63,138]",2024-12-19T13:44:12.97585-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T13:43:31.48212-06:00,full-comp-between,2024-12-19T13:43:31.48212-06:00
01JFG07Q5R9467M5A2GGPKBXKG,2,2024-12-19T11:43:26.13373-06:00,01JFG07Q50JREBFW5W2ZRTAGVC,2024-12-19T11:42:49.784787-06:00,,,4,2024-12-19T11:43:26.150763-06:00,comp-between,2024-12-19T11:43:26.150763-06:00,false,2024-12-19T11:42:49.784787-06:00,batch ended,2024-12-19T11:58:16.31955-06:00,01JFG07Q61JEZFK5NEJ1XW2VR0,2024-12-19T11:42:49.795347-06:00,,,01JFG08BRJ76RAAKWH56X5YRXE,2024-12-19T11:43:10.877986-06:00,3,2024-12-19T11:43:26.150763-06:00,,,,,1,2024-12-19T11:43:26.150763-06:00,,,true,2024-12-19T11:43:26.13373-06:00,true,2024-12-19T11:43:26.13373-06:00,terminated,2024-12-19T11:58:16.31955-06:00,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:42:49.784787-06:00,full-comp-between,2024-12-19T11:42:49.784787-06:00
01JFG0FCKBBN6NKRZP52T00QDN,2,2024-12-19T11:52:09.694976-06:00,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:47:01.099259-06:00,"[137,347,401,276]",2024-12-19T11:52:09.772682-06:00,4,2024-12-19T11:52:09.708775-06:00,comp-between,2024-12-19T11:52:09.708775-06:00,true,2024-12-19T11:56:22.893719-06:00,,,01JFG0FCKN817R67F2WYVFFC50,2024-12-19T11:47:01.110215-06:00,true,2024-12-19T11:52:09.772682-06:00,01JFG0QJ02AJD8N8ZB5STH48J3,2024-12-19T11:51:28.776111-06:00,3,2024-12-19T11:52:09.708775-06:00,,,63,2024-12-19T11:52:09.772682-06:00,1,2024-12-19T11:52:09.708775-06:00,null,2024-12-19T11:56:22.893719-06:00,true,2024-12-19T11:52:09.694976-06:00,true,2024-12-19T11:52:09.694976-06:00,ended,2024-12-19T11:56:22.891762-06:00,"[[283,137],[283,347],[283,401],[283,276],[235,137],[235,347],[235,401],[235,276],[189,137],[189,347],[189,401],[189,276],[320,137],[320,347],[320,401],[320,276]]",2024-12-19T11:52:09.772682-06:00,"[283,235,189,320]",2024-12-19T11:52:09.772682-06:00,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:47:01.099259-06:00,full-comp-between,2024-12-19T11:47:01.099259-06:00
01JFG0V9REQA34Z030FJPM5NG2,,,01JFG0V9QW0EMZDWEWE40SPFJ8,2024-12-19T11:53:31.406082-06:00,,,,,,,false,2024-12-19T11:53:31.406082-06:00,batch ended,2024-12-19T11:58:18.231449-06:00,01JFG0V9RWF0V5FE7E6H0A6PJB,2024-12-19T11:53:31.420673-06:00,,,,,,,,,,,,,,,false,2024-12-19T11:53:31.406082-06:00,,,terminated,2024-12-19T11:58:18.231449-06:00,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-19T11:53:31.406082-06:00,full-comp-between,2024-12-19T11:53:31.406082-06:00
