id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01JFG0DYZ1NRKDVES3MX6XN0C9,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.369006-06:00,60,2024-12-19T11:46:14.369006-06:00,false,2024-12-19T11:46:14.369006-06:00,,,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.369006-06:00,0,2024-12-19T11:46:14.369006-06:00,,,selection,2024-12-19T11:46:14.369006-06:00,01JFG0DYT0HD3TRGJ2E4P723J4,2024-12-19T11:46:14.369006-06:00,false,2024-12-19T11:46:14.369006-06:00,,,,,01JFG0DYYZXGB5DZC070NQRVMC,2024-12-19T11:46:14.369006-06:00
01JFG0RT4RZJV1QWZF4V1BMX57,01JFG0FCJREX0CTAQCM25KXGZ7,2024-12-19T11:52:09.880912-06:00,60,2024-12-19T11:52:09.880912-06:00,false,2024-12-19T11:52:09.880912-06:00,,,01JFG0FCKBBN6NKRZP52T00QDN,2024-12-19T11:52:09.880912-06:00,0,2024-12-19T11:52:09.880912-06:00,,,selection,2024-12-19T11:52:09.880912-06:00,01JFG0RT0W4595DGQBX8QVRSNN,2024-12-19T11:52:09.880912-06:00,false,2024-12-19T11:52:09.880912-06:00,,,,,01JFG0RT4Q2QPXEDT7YMQF5MCJ,2024-12-19T11:52:09.880912-06:00
01JFG6T7KH3ASTEZG0MV89TRT0,01JFG6S17MDRMQK5K2DP34Z9GF,2024-12-19T13:37:47.889156-06:00,60,2024-12-19T13:37:47.889156-06:00,false,2024-12-19T13:37:47.889156-06:00,,,01JFG6S18CN4W09S8QX5ES16HQ,2024-12-19T13:37:47.889156-06:00,0,2024-12-19T13:37:47.889156-06:00,,,selection,2024-12-19T13:37:47.889156-06:00,01JFG6T7GQWQPCWFE8SG4RK079,2024-12-19T13:37:47.889156-06:00,false,2024-12-19T13:37:47.889156-06:00,,,,,01JFG6T7KGBD2MDGZNW8H2Q6FP,2024-12-19T13:37:47.889156-06:00
01JFG74E98TWYNRAKKY0JPFM0W,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:43:22.408351-06:00,3,2024-12-19T13:43:22.408351-06:00,false,2024-12-19T13:43:22.408351-06:00,,,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:43:22.408351-06:00,1,2024-12-19T13:43:22.408351-06:00,,,feedback,2024-12-19T13:43:22.408351-06:00,01JFG74E6R35ZVH2HY3Z444BFY,2024-12-19T13:43:22.408351-06:00,false,2024-12-19T13:43:22.408351-06:00,,,,,01JFG74E97EF6P6C2NB2EXZT4T,2024-12-19T13:43:22.408351-06:00
01JFG74E9MNNYD653SXPQZVJBB,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:43:22.420264-06:00,3,2024-12-19T13:43:22.420264-06:00,false,2024-12-19T13:43:22.420264-06:00,,,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:43:22.420264-06:00,1,2024-12-19T13:43:22.420264-06:00,,,feedback,2024-12-19T13:43:22.420264-06:00,01JFG74E6J2A0BBBPCVXSWJJ34,2024-12-19T13:43:22.420264-06:00,false,2024-12-19T13:43:22.420264-06:00,,,,,01JFG74E9KVP5M4BD1CEBWY7ME,2024-12-19T13:43:22.420264-06:00
01JFG74EA8VNCJQ08Y6B9KRC9B,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:43:22.440017-06:00,3,2024-12-19T13:43:22.440017-06:00,false,2024-12-19T13:43:22.440017-06:00,,,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:43:22.440017-06:00,1,2024-12-19T13:43:22.440017-06:00,,,feedback,2024-12-19T13:43:22.440017-06:00,01JFG74E6SYCJXC25E1130P58P,2024-12-19T13:43:22.440017-06:00,false,2024-12-19T13:43:22.440017-06:00,,,,,01JFG74EA7QBMM4WTATPQQDBZB,2024-12-19T13:43:22.440017-06:00
01JFG74EAN25RCW5P8QDWX34VJ,01JFG738MV5TW8KEPMZJG8KZ91,2024-12-19T13:43:22.453063-06:00,3,2024-12-19T13:43:22.453063-06:00,false,2024-12-19T13:43:22.453063-06:00,,,01JFG738NCJ8HA0GZ6DND9RMRW,2024-12-19T13:43:22.453063-06:00,1,2024-12-19T13:43:22.453063-06:00,,,feedback,2024-12-19T13:43:22.453063-06:00,01JFG74E6WJ8MZ5XGX9GKWNGV7,2024-12-19T13:43:22.453063-06:00,false,2024-12-19T13:43:22.453063-06:00,,,,,01JFG74EAMF1Q1SJV7A48VFA1D,2024-12-19T13:43:22.453063-06:00
01JFG0DYYFY6CHARJFCKD120NY,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.351322-06:00,60,2024-12-19T11:46:14.351322-06:00,false,2024-12-19T11:46:14.351322-06:00,,,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.351322-06:00,0,2024-12-19T11:46:14.351322-06:00,,,selection,2024-12-19T11:46:14.351322-06:00,01JFG0DYSZADK8AZK2KFBX6DWT,2024-12-19T11:46:14.351322-06:00,false,2024-12-19T11:46:14.351322-06:00,,,,,01JFG0DYYEXE0W1N5P05DT7M9Z,2024-12-19T11:46:14.351322-06:00
01JFG0DYVF3FAYWS22ATR9JE3W,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.255351-06:00,60,2024-12-19T11:46:14.255351-06:00,false,2024-12-19T11:46:14.255351-06:00,,,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.255351-06:00,0,2024-12-19T11:46:14.255351-06:00,,,selection,2024-12-19T11:46:14.255351-06:00,01JFG0DYSR1SAWZYJ4G3FCK4A4,2024-12-19T11:46:14.255351-06:00,false,2024-12-19T11:46:14.255351-06:00,,,,,01JFG0DYVEFF11RZW9ZQBHDYAD,2024-12-19T11:46:14.255351-06:00
01JFG0DYW65KAW2HY0F0G2ZXWF,01JFG0D3V0MVAGGZPMBD2CTE5E,2024-12-19T11:46:14.27846-06:00,3,2024-12-19T11:46:14.27846-06:00,false,2024-12-19T11:46:14.27846-06:00,,,01JFG0D3VKMADYW0PGQ4ZW6MX2,2024-12-19T11:46:14.27846-06:00,1,2024-12-19T11:46:14.27846-06:00,,,feedback,2024-12-19T11:46:14.27846-06:00,01JFG0DYSKQ8DRSTTMDAQ0VN88,2024-12-19T11:46:14.27846-06:00,false,2024-12-19T11:46:14.27846-06:00,,,,,01JFG0DYW5XX6Q63A9KPEDK3TH,2024-12-19T11:46:14.27846-06:00
