id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,clicked,clickedLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JFTQ3H81M8H622YGKR8RPTAF,,,,,,,null,2024-12-23T21:49:02.712155013Z,,,,,null,2024-12-23T21:49:02.712155013Z,2,2024-12-23T21:35:03.738974009Z,null,2024-12-23T21:40:27.951794252Z,,,,,,,01JFTQ3EASXHYWG8DNQG61VCW5,2024-12-23T21:34:54.20933886Z,67430d339fd5fe9de0d9e23b,2024-12-23T21:34:54.20933886Z,,,,,,,,,null,2024-12-23T21:49:02.712155013Z,null,2024-12-23T21:49:02.712155013Z,"{""participantKey"":""67430d339fd5fe9de0d9e23b"",""STUDY_ID"":""6765db8d81e94d2ef90b6549"",""SESSION_ID"":""6769d74113ce4861332cf980""}",2024-12-23T21:34:54.923155217Z
01JFTQ6GDHAQ2JF38AAKD89JPQ,,,,,,,game failed,2024-12-23T21:49:21.432391393Z,true,2024-12-23T21:49:30.750893012Z,gameFailed,2024-12-23T21:49:30.602428791Z,01JFTQDY3Y2RECY99FWNKPQ5GD,2024-12-23T21:42:19.591252117Z,2,2024-12-23T21:40:13.467897776Z,true,2024-12-23T21:44:21.417149806Z,,,,,,,01JFTQ6EB56RBVMX7AP5YHB0ZR,2024-12-23T21:36:31.665952017Z,67583475b36f2453011e3a7e,2024-12-23T21:36:31.665952017Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:40:25.835855266Z,full-comp-between,2024-12-23T21:40:25.835855266Z,"{""participantKey"":""67583475b36f2453011e3a7e"",""STUDY_ID"":""6765db8d81e94d2ef90b6549"",""SESSION_ID"":""6769d7b3dbb47d1eef2aa400""}",2024-12-23T21:36:32.455878092Z
01JFTQ7DE414MCRH72YDY9YWGX,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-12-23T21:42:19.849459577Z,0.300000,2024-12-23T21:55:17.385617301Z,,2024-12-23T21:55:17.413599448Z,game ended,2024-12-23T21:59:29.981372364Z,true,2024-12-23T22:16:01.913881125Z,"{""age"":""29"",""gender"":""male"",""strategy"":""exceptional"",""enjoy"":""yes provided more detailed responses"",""feedback"":""N/A"",""education"":""master""}",2024-12-23T22:16:01.910711352Z,01JFTQCWETJ81EPRJHTFGJ2WYS,2024-12-23T21:40:24.411229678Z,2,2024-12-23T21:39:37.301175028Z,true,2024-12-23T21:41:11.432255108Z,Repi,2024-12-23T21:42:19.849459577Z,#29828D,2024-12-23T21:42:19.849459577Z,4,2024-12-23T21:59:29.964721663Z,01JFTQ7C0R4S5B9QAD8ZY9Y3NV,2024-12-23T21:37:01.380319049Z,671ba92d1a40ca69431d6e07,2024-12-23T21:37:01.380319049Z,01JFTQBN88VPJ7V0XQPR2T3WAE,2024-12-23T21:42:19.849459577Z,matcher,2024-12-23T21:58:26.844814313Z,0.300000,2024-12-23T21:55:17.385617301Z,/avatars/blue.png,2024-12-23T21:42:19.849459577Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:40:24.411229678Z,full-comp-between,2024-12-23T21:40:24.411229678Z,"{""participantKey"":""671ba92d1a40ca69431d6e07"",""STUDY_ID"":""6765db8d81e94d2ef90b6549"",""SESSION_ID"":""6769d79e26d9f00a094c5b0d""}",2024-12-23T21:37:01.831982806Z
01JFTQ886G5ME90NNRKB1PKYPX,,,,,,,null,2024-12-23T21:49:04.132630051Z,true,2024-12-23T21:46:13.772734851Z,gameFailed,2024-12-23T21:46:13.775046566Z,null,2024-12-23T21:49:04.132630051Z,2,2024-12-23T21:40:33.509062959Z,null,2024-12-23T21:49:04.132630051Z,,,,,,,01JFTQ86RAB0Y0GF8PT14PQGQM,2024-12-23T21:37:28.784759045Z,67684dd84deabe73a9da9353,2024-12-23T21:37:28.784759045Z,,,,,,,,,null,2024-12-23T21:49:04.132630051Z,null,2024-12-23T21:49:04.132630051Z,"{""participantKey"":""67684dd84deabe73a9da9353"",""STUDY_ID"":""6765db8d81e94d2ef90b6549"",""SESSION_ID"":""6769d7b246e26dbfc0adb4c7""}",2024-12-23T21:37:29.555032244Z
01JFTQWYKF1P3YNJPCFF1YWB87,,,,,,,,,,,,,,,,,,,,,,,,,01JFTQWRYG7NBGGHEXEMGM1618,2024-12-23T21:48:47.08798311Z,67430d339fd5fe9de0d9e23B,2024-12-23T21:48:47.08798311Z,,,,,,,,,,,,,,
01JFTQ1ZR7DTW65P1ZS41Y9B69,,,,,,,game failed,2024-12-23T21:49:21.432391393Z,true,2024-12-23T21:40:28.71729835Z,gameFailed,2024-12-23T21:40:28.632996959Z,01JFTQDY3Y2RECY99FWNKPQ5GD,2024-12-23T21:42:19.591252117Z,2,2024-12-23T21:34:48.271794055Z,null,2024-12-23T21:40:29.706334146Z,,,,,,,01JFTQ1ZDV7350YZGVWAGQJEZ1,2024-12-23T21:34:03.527426011Z,611138062881f502878eaa1f,2024-12-23T21:34:03.527426011Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:40:29.712920638Z,full-comp-between,2024-12-23T21:40:29.712920638Z,"{""participantKey"":""611138062881f502878eaa1f"",""STUDY_ID"":""6765db8d81e94d2ef90b6549"",""SESSION_ID"":""6769d7346919d0618fa55e1b""}",2024-12-23T21:34:03.699653578Z
01JFTQ5J093Q32KZCFVPE7CCJ4,,,,,,,game failed,2024-12-23T21:49:21.432391393Z,true,2024-12-23T21:58:47.55549084Z,gameFailed,2024-12-23T21:58:47.544528841Z,01JFTQDY3Y2RECY99FWNKPQ5GD,2024-12-23T21:42:19.591252117Z,2,2024-12-23T21:36:58.095365937Z,null,2024-12-23T21:40:26.995110559Z,,,,,,,01JFTQ5EQTX2MX6NENXDZCMPE2,2024-12-23T21:36:00.521213362Z,673782343ca7d61fde998d7f,2024-12-23T21:36:00.521213362Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:40:27.003058582Z,full-comp-between,2024-12-23T21:40:27.003058582Z,"{""participantKey"":""673782343ca7d61fde998d7f"",""STUDY_ID"":""6765db8d81e94d2ef90b6549"",""SESSION_ID"":""6769d74f6919d0618fa55e21""}",2024-12-23T21:36:01.912682875Z
01JFTQ6PBWTNSTVAYNCQHHBWHX,,,,,,,null,2024-12-23T21:49:03.589037196Z,,,,,null,2024-12-23T21:49:03.589037196Z,1,2024-12-23T21:36:39.376304071Z,null,2024-12-23T21:40:25.4520497Z,,,,,,,01JFTQ6P10X9AJ2Z4P3X1R4WJ4,2024-12-23T21:36:37.756488226Z,5fca7edb9b31046cb10faf3a,2024-12-23T21:36:37.756488226Z,,,,,,,,,null,2024-12-23T21:49:03.589037196Z,null,2024-12-23T21:49:03.589037196Z,"{""participantKey"":""5fca7edb9b31046cb10faf3a"",""STUDY_ID"":""6765db8d81e94d2ef90b6549"",""SESSION_ID"":""6769d772a913b585b76c3f38""}",2024-12-23T21:36:37.938841876Z
01JFTQ9C11BBSEJNFYN6XKRFJT,,,,,,,game failed,2024-12-23T21:49:21.432391393Z,,,,,01JFTQDY3Y2RECY99FWNKPQ5GD,2024-12-23T21:42:19.591252117Z,1,2024-12-23T21:38:26.838437634Z,null,2024-12-23T21:40:23.473901778Z,,,,,,,01JFTQ9A2WBJ36J83HSA4WS66J,2024-12-23T21:38:05.473838691Z,7,2024-12-23T21:38:05.473838691Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:40:23.482074599Z,full-comp-between,2024-12-23T21:40:23.482074599Z,"{""participantKey"":""671d1095309d40296a74ca"",""STUDY_ID"":""6765db8d81e94db6549"",""SESSION_ID"":""6769d72d552c82731f5d3""}",2024-12-23T21:38:06.322674568Z
01JFTQBN88VPJ7V0XQPR2T3WAE,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-12-23T21:42:19.849459577Z,0.300000,2024-12-23T21:55:17.385617301Z,,2024-12-23T21:55:17.413599448Z,game ended,2024-12-23T21:59:29.981372364Z,true,2024-12-23T22:01:38.481781746Z,"{""age"":""31"",""gender"":""Male"",""strategy"":""I was initially describing what I thought the object looked like, but then quickly changed to describing it's features (number of point etc)"",""enjoy"":""My Partner disconnected, but I'd had a neutral experience. At times it felt like the partner was impatient"",""feedback"":""Partner disconnected."",""education"":""master""}",2024-12-23T22:01:38.350531269Z,01JFTQCWETJ81EPRJHTFGJ2WYS,2024-12-23T21:40:22.644012547Z,2,2024-12-23T21:41:51.448627261Z,true,2024-12-23T21:42:19.579155024Z,Minu,2024-12-23T21:42:19.849459577Z,#444EA1,2024-12-23T21:42:19.849459577Z,4,2024-12-23T21:59:29.964721663Z,01JFTQBMJXHK17EX2R72X06CZH,2024-12-23T21:39:20.45676935Z,67312ce7cb2de5b3ed205000,2024-12-23T21:39:20.45676935Z,01JFTQ7DE414MCRH72YDY9YWGX,2024-12-23T21:42:19.849459577Z,director,2024-12-23T21:58:26.844814313Z,0.300000,2024-12-23T21:55:17.385617301Z,/avatars/red.png,2024-12-23T21:42:19.849459577Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-12-23T21:40:22.644012547Z,full-comp-between,2024-12-23T21:40:22.644012547Z,"{""participantKey"":""67312ce7cb2de5b3ed205000"",""STUDY_ID"":""6765db8d81e94d2ef90b6549"",""SESSION_ID"":""6769d802a2b4cba43eda72d9""}",2024-12-23T21:39:20.73312148Z
